node1,node2,length,startLat,startLon,endLat,endLon,endNodeL,startNodeL,startYear,endYear,midYear,startUTLA,endUTLA,startRegion,endRegion,geoDist_km
28428,28429,0.00840119,184579.246336206,550688.991756257,186276.37696247,548467.729345485,0.07953808,0.07113689,2020.7516071263,2020.7600083163,2020.7558077213,364,364,Greater_London,Greater_London,2.79292457234593
18366,18367,0.00147194000000006,165226.943792817,579502.656666611,165462.828391491,580974.542490807,0.08020636,0.07873442,2020.7592046563,2020.7606765963,2020.7599406263,46,46,Kent,Kent,1.48769714490174
27092,27093,0.0259676,167778.654050323,592772.313028069,170395.003905181,600138.387274927,0.0812801626,0.0553125626,2020.7357827989,2020.7617503989,2020.7487665989,296,296,Kent,Kent,7.80226294033405
23529,23530,0.00441012000000002,169257.66494143,549924.136211006,169682.727564535,549823.226810824,0.0821447,0.07773458,2020.7582048163,2020.7626149363,2020.7604098763,335,189,Kent,Kent,0.437137721178607
25801,25802,0.0192856,169019.019162791,587855.031110396,174983.531451543,599377.737334316,0.08246215,0.06317655,2020.7436467863,2020.7629323863,2020.7532895863,296,NA,Kent,NA,12.9538521661503
23530,23531,0.00284948999999995,169682.727564535,549823.226810824,169597.311595473,549174.225706609,0.08499419,0.0821447,2020.7626149363,2020.7654644263,2020.7640396813,189,335,Kent,Kent,0.65336447071256
27093,27097,0.00396533999999998,170395.003905181,600138.387274927,169656.662655167,599050.184804049,0.0852455026,0.0812801626,2020.7617503989,2020.7657157389,2020.7637330689,296,296,Kent,Kent,1.31321012388377
18366,18947,0.00808604000000002,165226.943792817,579502.656666611,167207.96698077,583672.256142883,0.08682046,0.07873442,2020.7592046563,2020.7672906963,2020.7632476763,46,296,Kent,Kent,4.60877190350104
23531,24352,0.00229295000000002,169597.311595473,549174.225706609,164187.26012561,533286.379372523,0.08728714,0.08499419,2020.7654644263,2020.7677573763,2020.7666109013,335,334,Kent,Greater_London,16.7559869528882
32375,14658,0.0134881,181900.400549303,541857.477222114,172493.806690155,544097.943118909,0.0872894,0.0738013,2020.7542715363,2020.7677596363,2020.7610155863,363,346,Greater_London,Greater_London,9.67562036937449
28429,28430,0.00812836,186276.37696247,548467.729345485,185714.330543196,548433.445044041,0.08766644,0.07953808,2020.7600083163,2020.7681366763,2020.7640724963,364,364,Greater_London,Greater_London,0.563464924080063
28430,28511,8.00053999999717e-05,185714.330543196,548433.445044041,188618.565745573,548521.286155029,0.0877464454,0.08766644,2020.7681366763,2020.7682166817,2020.768176679,364,364,Greater_London,Greater_London,2.90752117648779
18947,18948,0.00200691000000003,167207.96698077,583672.256142883,167057.693512747,584225.101480749,0.08882737,0.08682046,2020.7672906963,2020.7692976063,2020.7682941513,296,296,Kent,Kent,0.571863037123873
27204,27205,0.034584,169775.828676851,592419.160623696,168651.329385758,595072.748090613,0.08910827,0.05452427,2020.7349945063,2020.7695785063,2020.7522865063,296,296,Kent,Kent,2.8773402410163
